,STR,LYM,DEB,NORM
210-2,0.24,0.16,0.2639937106918239,0.25
211-2,0.14893617021276595,0.25550827423167843,0.20618556701030927,0.42910638297872317
212-2,0.5366932482721957,0.125,0.40904203323558164,0.10627099664053749
213-2,0.5876288659793815,0.06,0.4606315789473686,0.16999999999999998
214-2,0.5373626373626375,0.2080333459643805,0.27652797704447657,0.16490313809901438
215-2,0.4020618556701031,0.24,0.07,0.14028282828282868
216-1,0.36923076923076936,0.18143939393939396,0.4348214285714286,0.4130952380952381
217-1,0.5674929258630449,0.39715522572665435,0.08163265306122448,0.35
218-2,0.6084962406015038,0.12141636141636142,0.2,0.10103092783505166
219-5,0.36,0.030612244897959183,0.3299381443298969,0.07
220-2,0.5151515151515151,0.21298701298701306,0.2698717948717949,0.07142857142857142
221-2,0.1412727272727274,0.32316715542522,0.1976096068879576,0.14
222-2,0.1938079777365492,0.25459183673469404,0.02235237867559172,0.4843636363636365
223-2,0.5,0.03076923076923077,0.3714950166112958,0.08256013745704478
224-2,0.5050505050505051,0.11,0.38,0.06
225-2,0.2,0.23000000000000004,0.27,0.25252525252525254
226-5,0.4393877551020408,0.15,0.24621212121212122,0.245
227-2,0.30400000000000005,0.38,0.0,0.337
229-5,0.31472892187177903,0.07,0.1450816151202749,0.44
230-2,0.36,0.13,0.2429189857761293,0.2760782663580904
231-2,0.49,0.37,0.08791208791208792,0.04
232-2,0.1,0.11,0.44065979381443315,0.22
234-2,0.42270593256508776,0.163332218133155,0.2839768339768342,0.23076923076923078
235-2,0.30543501611170787,0.2,0.14170274170274177,0.337387755102041
236-2,0.2694123711340207,0.23,0.12,0.33
237-2,0.45000000000000007,0.08333333333333333,0.014705882352941176,0.24
238-2,0.24,0.23185858585858626,0.31,0.21
239-2,0.6323529411764706,0.09,0.17722222222222225,0.03125
240-2,0.27,0.07,0.39,0.21
241-2,0.32323232323232326,0.22700000000000048,0.17225215517241382,0.45000000000000007
242-2,0.7021276595744681,0.24,0.04033264033264035,0.12
244-2,0.45454545454545453,0.19,0.15625,0.13593406593406593
245-2,0.1919191919191919,0.23,0.48,0.03
246-2,0.48,0.15013698630137004,0.21649484536082475,0.15463917525773196
248-2,0.4,0.34,0.30883673469387773,0.09
249-5,0.48453608247422686,0.07,0.20618556701030927,0.07581325711174641
250-2,0.6063829787234043,0.13,0.18181818181818182,0.06060606060606061
283819,0.11470725995316164,0.10709523809523813,0.4687104430379747,0.3877551020408163
300953,0.12024242424242429,0.07,0.5702857142857143,0.2727272727272727
302981,0.5104609929078014,0.04,0.11458333333333331,0.04087223930668165
303924,0.14285714285714285,0.0,0.02127659574468085,0.12914611005692597
304-4,0.2,0.29,0.4561818181818185,0.1
304437,0.18,0.12,0.36363636363636365,0.3492063492063492
305-7,0.33,0.15604707792207792,0.41,0.18181818181818182
306-10,0.32520683949255397,0.19,0.09090909090909091,0.04728291316526616
306443,0.35,0.16,0.3157894736842105,0.15
308-5,0.3,0.14,0.4878787878787886,0.14113131313131339
309-7,0.42,0.13241573033707865,0.12233560090702947,0.255
311-5,0.2134285714285717,0.33000000000000007,0.47983333333333333,0.05
312-7,0.36194939081537014,0.14895930413171793,0.061224489795918366,0.1873402061855669
313-6,0.21712236665172574,0.31225649350649354,0.12244897959183673,0.011587810745789903
315-7,0.30395256916996055,0.1127147766323025,0.5597419354838711,0.02170040485829964
316-7,0.22,0.28,0.46236559139784944,0.12371134020618557
317-4,0.27389242336610764,0.3584905660377358,0.11702127659574468,0.06396705559368568
318-4,0.01,0.3891020408163266,0.15723684210526317,0.4260317460317461
318349,0.2042857142857143,0.05706521739130435,0.10526315789473684,0.13130434782608696
320-7,0.15306122448979592,0.1453654188948309,0.07194403534609722,0.41
321-9,0.3733949666153057,0.01,0.11,0.1265240797322858
322-4,0.14052173913043475,0.13857257417802724,0.1464473684210526,0.18616368286445004
323-9,0.47830712303422757,0.041237113402061855,0.42,0.03
324-9,0.22,0.10704761904761907,0.36210989010989025,0.22
325578,0.533743042671614,0.04,0.2432046332046332,0.07054695562435499
327-9,0.028089569160997724,0.38549659863945573,0.11206349206349206,0.5185393258426967
