,far_LYM,around_LYM,inside_LYM
"748246_1C,1D",16.083068061239956,6.033045323631954,12.111565863271185
"748742_2B,2C",35.91929525433362,7.914180164819551,14.919011082693947
749566_S2B,9.809578765147144,11.367570686670515,2.7120600115406805
749667_5J,1.4992811665639763,3.9022386527007598,14.962004518381598
749885_A,0.591715976331361,38.86834319526627,8.986686390532544
752970_1C,4.015949871831387,3.9589860438621476,7.305610937054969
753138_4B,2.17983651226158,6.085376930063579,9.173478655767484
753520_1G,0.0,6.6000000000000005,31.8625
753598_B,0.30848329048843187,1.8637532133676094,8.097686375321336
753834_9B,6.722689075630252,22.268907563025213,8.403361344537815
754206_13,272.64573991031386,75.33632286995515,0.8968609865470852
754310_7C,61.917808219178085,182.32876712328766,19.041095890410958
754972_B,4.552238805970149,2.7860696517412937,5.870646766169154
755375_3B,0.13692377909630307,20.219078046554085,67.45778183477864
757568_D,22.599704579025108,14.081733136386015,5.809945839487937
760098_9D,0.09910802775024777,1.9050765334214292,2.015196564255038
762106_7B,12.294496068620443,73.12365975696926,111.57969978556113
764430_7B,1.6253443526170797,28.18181818181818,59.146005509641874
765407_H,5.686274509803922,13.529411764705882,4.117647058823529
765680_7C,10.134128166915051,169.8956780923994,59.01639344262295
767626_1F,0.013189132155104196,1.4112371405961488,5.921920337641783
767867_A,0.11047011169755738,3.1422609549527434,5.388486559469744
768370_7B,0.5062305295950156,2.3169781931464173,2.3559190031152646
"768610_7B,7C",6.127686878408727,8.517805582290663,8.75842155919153
"769150_8C,8D",5.611834700112558,0.7182290829179396,2.0421289596398133
"769151_8B,8C",18.299120234604104,2.3949169110459434,4.320625610948191
"769292_12A,12B",41.485605649103746,14.136338946224877,33.37859858772406
"769293_1A,1B",5.590141024012197,0.5590141024012196,0.6352432981832041
"769404_8B,9",34.51923076923077,55.86538461538461,88.07692307692308
771609_7G,81.65137614678899,33.63914373088685,1.529051987767584
"771986_A,B",4.685181259274962,0.8267966928132288,0.6147975408098367
"772291_7B,7C",3.3124699085219067,1.1073663938372653,0.20221473278767454
772517_2A,4.8465608465608465,14.201058201058201,5.037037037037037
772529_1A,0.2127659574468085,12.287234042553191,13.26241134751773
772734_2B,15.441176470588236,77.02205882352942,7.536764705882352
773502_5C,4.704463208685163,46.07961399276236,55.72979493365501
773580_3B,3.248730964467005,8.83248730964467,4.111675126903553
774990_2A,20.289079229122056,67.18415417558886,45.610278372591004
775603_1B,87.14285714285714,48.57142857142857,15.142857142857144
775663_2A,8.263069139966273,81.95615514333895,25.29510961214165
776614_2B,0.17022128767397618,3.174126364273556,14.318614198457997
777303_3D,1.654475792406827,3.3611981887843956,4.7370254266805984
779162_2E,0.012402331638348009,2.43085700111621,6.225970482450701
"781978_8B,8C",10.25520955279794,10.58300163896043,7.913837508780146
